x1,x2,tekst,index
48.72,439.2616,ISI 1_,7
48.72,385.7416,ISI 2_,7
25.2,275.0716,ISI_,7
48.72,301.9516,ISI 1_,7
48.72,248.4316,ISI 2_,7
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",7
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,7
319.85,115.9016,Przedst. samorz. stud.:_,7
615.22,115.9016,Dziekan:_,7
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,8
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",8
381.53,488.40000000000003,Sobota 27.11.2021_,8
85.8,473.5816,07:00_,8
137.18,473.5816,08:00_,8
188.54,473.5816,09:00_,8
239.9,473.5816,10:00_,8
291.29,473.5816,11:00_,8
342.65,473.5816,12:00_,8
394.01,473.5816,13:00_,8
445.39,473.5816,14:00_,8
496.75,473.5816,15:00_,8
548.11,473.5816,16:00_,8
599.5,473.5816,17:00_,8
650.86,473.5816,18:00_,8
702.22,473.5816,19:00_,8
753.6,473.5816,20:00_,8
129.38,446.1316,"ME [ćw], mgr inż. A.Froń, sala _",8
257.3,446.1316,"IO [ćw], mgr inż. M.Żużel, sala _",8
385.85,446.1316,"WWW [ćw], mgr H.Pikus, sala _",8
172.46,435.9316,D1/15_,8
301.01,435.9316,E1/16_,8
429.29,435.9316,D2/16_,8
257.78,392.6116,"ME [ćw], mgr inż. A.Froń, sala _",8
385.73,392.6116,"IO [ćw], mgr inż. M.Żużel, sala _",8
514.27,392.6116,"WWW [ćw], mgr H.Pikus, sala _",8
300.89,382.4116,D1/15_,8
429.41,382.4116,E1/16_,8
557.71,382.4116,D2/16_,8
85.8,336.2716,07:00_,8
137.18,336.2716,08:00_,8
188.54,336.2716,09:00_,8
239.9,336.2716,10:00_,8
291.29,336.2716,11:00_,8
342.65,336.2716,12:00_,8
394.01,336.2716,13:00_,8
445.39,336.2716,14:00_,8
496.75,336.2716,15:00_,8
548.11,336.2716,16:00_,8
599.5,336.2716,17:00_,8
650.86,336.2716,18:00_,8
702.22,336.2716,19:00_,8
753.6,336.2716,20:00_,8
375.77,351.07,Niedziela 28.11.2021_,8
259.58,308.8216,"ASK [ćw], dr J.Szubiakowski, _",8
